country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","09-12-2025 21:00:00",28.593883,76.270653,SO2,9,11,10
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-12-2025 21:00:00",28.206800,76.799700,PM2.5,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","09-12-2025 21:00:00",28.206800,76.799700,NH3,NA,NA,NA
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","09-12-2025 21:00:00",28.39072,77.30059,PM10,165,171,168
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","09-12-2025 21:00:00",23.023389,72.515201,PM10,65,88,71
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","09-12-2025 21:00:00",23.023389,72.515201,NO2,16,74,33
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","09-12-2025 21:00:00",23.023389,72.515201,NH3,8,21,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","09-12-2025 21:00:00",23.076793,72.627874,PM10,86,182,112
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-12-2025 21:00:00",21.613267,73.010555,NH3,7,8,8
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-12-2025 21:00:00",21.613267,73.010555,SO2,21,29,27
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","09-12-2025 21:00:00",21.613267,73.010555,CO,31,92,51
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","09-12-2025 21:00:00",29.8006,76.4155,NH3,4,6,5
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","09-12-2025 21:00:00",29.8006,76.4155,CO,12,73,40
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-12-2025 21:00:00",29.695300,77.002700,PM10,NA,NA,NA
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-12-2025 21:00:00",29.695300,77.002700,SO2,NA,NA,NA
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","09-12-2025 21:00:00",29.695300,77.002700,OZONE,36,36,36
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","09-12-2025 21:00:00",27.9002,76.9938,PM10,53,195,94
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","09-12-2025 21:00:00",27.9002,76.9938,NH3,12,14,13
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","09-12-2025 21:00:00",28.4227,77.0667,PM10,117,282,176
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","09-12-2025 21:00:00",28.4501238,77.0263051,CO,102,140,118
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-12-2025 21:00:00",29.140560,75.744941,NH3,7,8,8
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-12-2025 21:00:00",29.140560,75.744941,SO2,6,15,10
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","09-12-2025 21:00:00",29.140560,75.744941,CO,55,72,59
